Customeraccount;ax;Archived;KeyAccountCode;DeliveryAddress;DeliveryAddress2;KeyAccount;Name;Search name;ZIPCODE;CITY;COUNTRYREGIONID;STREET;Telephone;Extension;CURRENCY;Customer group;Invoice account;Created date and time;Created by;VAT number;Country region;AccessRights;GroupID
00004;Yes;;;;;Yes;Vitafor NV;Vitafor B + S;9100;Sint-Niklaas;BEL;Industriepark Noord 18;;;EUR;003;;2011-06-24 14:16:50;?;BE0412725991;BEL;BEL;54,69
00007;Yes;;;;;Yes;Vanden Avenne-Ooigem NV;Vanden Avenne B+S;B-8710;Ooigem;BEL;Zwaantjesstraat 12;F 056 673 794;;EUR;003;;2011-06-24 14:16:50;?;BE0430523909;BEL;BEL;54,69
00008;Yes;;;;;Yes;Val Pro Srl;Val Pro B+S;43023;Cadelbosco Sopra - RE;ITA;Via Leonardo de Vinci 29;;;EUR;003;;2011-06-24 14:16:50;?;;ITA;ITA;52,69
00009;Yes;;00408;;;No;Trouw Nutrition Nederland BV;Trouw Nutr Ned.  S;3881 LA;Putten;NLD;Nijverheidsweg 2;;;EUR;003;00408;2011-06-24 14:16:50;?;NL001220093B01;NLD;NLD;55,69
00009_14929;Yes;;00408;;;No;Trouw Nutrition Nederland BV;Trouw Nutr Ned.  S;14929;Bardenitz;DEU;Treuenbrietzenerstr. 91a;;;EUR;003;00408;2011-06-24 14:16:50;?;NL001220093B01;DEU;DEU;53,69
00009_4587 ZG;Yes;;00408;;;No;Trouw Nutrition Nederland BV;Trouw Nutr Ned.  S;4587 ZG;KLOOSTERZANDE;NLD;Oudeweg 16;;;EUR;003;00408;2011-06-24 14:16:50;?;NL001220093B01;NLD;NLD;55,69
00010;Yes;;;;;Yes;Nutreco Belgium NV;Nutreco Belgium (ex Trouw);9000;Gent;BEL;Akkerhage 4;00 32 9 2439120;;EUR;003;;2011-06-24 14:16:50;?;BE0413881182;BEL;BEL;54,69
00011;Yes;;;00135;00135;Yes;Trouw Nutrition Espana SA;Trouw ES B;28960;Tres Cantos-Madrid;ESP;Ronda de Poniente 9;;;EUR;003;;2011-06-24 14:16:50;?;ESA79279246;ESP;ESP;56,69
00011_3880 AA;Yes;;;00135;00135;No;Trouw Nutrition Espana SA;Trouw ES B;3880 AA;Putten;NLD;Nijverheidsstraat 2;;;EUR;003;;2011-06-24 14:16:50;?;ESA79279246;NLD;NLD;55,69
00012;Yes;1;;;;Yes;Techna Usine;Techna Usine B  DO NOT USE;44220;Coueron;FRA;Les landes de Bauche - BP 10;;;EUR;003;;2011-06-24 14:16:50;?;FR48864801378;FRA;FRA;50,69
00013;Yes;;01317;;;No;Techna Usine;Techna Usine S;44260;Malville;FRA;ZI de la Croix Blanche;Fax 0033 240 864 432;;EUR;003;01317;2011-06-24 14:16:50;?;;FRA;FRA;50,69
00014;Yes;;;;;Yes;SAFU Agrarshandels GmbH;SAFU Agrarshandels GmbH B;06780;Zoerbig (Salzfurtkapelle);DEU;Hinsdorfer Weg 2;;;EUR;003;;2011-06-24 14:16:50;?;DE 139742103;DEU;DEU;53,69
00015;Yes;1;;;;Yes;Primex SAS Serv Compte Fournisseur;Primex SAS B    DO NOT USE ANYMORE;56440;Languidic;FRA;BP 21;;;EUR;003;;2011-06-24 14:16:50;?;FR 44413449448;FRA;FRA;50,69
00016;Yes;;00334;;;No;Primex - Usines LCC   (S.F.P.S.) DO NOT USE;Primex Usine S.F.P.S. Languidic DONOTUSE;56440;Languidic;FRA;Gare de Baud - Magasin Mat. Prem.;;;EUR;003;00334;2011-06-24 14:16:50;?;;FRA;FRA;50,69
00017;Yes;;;00018;00018;Yes;Maisadour;Maisadour B;40001;Mont de Marsan Cedex;FRA;BP 27;;;EUR;003;;2011-06-24 14:16:50;?;FR45782092290;FRA;FRA;50,69
00018;Yes;;00017;;;No;Maisadour;Maisadour S;40280;Haut-Mauco;FRA;Route de Saint-Sever / USINE HAUT- MAUCO;;;EUR;003;00017;2011-06-24 14:16:50;?;;FRA;FRA;50,69
00019;Yes;;;;;Yes;Kego SA;Kego SA B+S;34600;Nea Artaki;GRC;1st km Artaki, Psahna Road;;;EUR;003;;2011-06-24 14:16:50;?;;GRC;GRC;178,69
00020;Yes;;;00021,03093,03428;00021,03093,03428;Yes;ITPSA Industrial Tecnica Pecuaria SA;ITPSA B;08011;Barcelona;ESP;Avda. De Roma 157, Planta 7;;;EUR;003;;2011-06-24 14:16:50;?;ESA08219511;ESP;ESP;56,69
00021;Yes;;00020;;;No;ITPSA Industrial Tecnica Pecuaria SA;ITPSA S;43800;Valls - Tarragona;ESP;c/Artesans s/nPoligono Industrial de Valles;;;EUR;003;00020;2011-06-24 14:16:50;?;;ESP;ESP;56,69
00022;Yes;;;;;Yes;Intervet Maroc;Intervet Maroc B+S;20601;Cassablanca;MAR;Route 110, km 3300 Bd Chefchaouni;;;EUR;003;;2011-06-24 14:16:50;?;;MAR;MAR;235,69
00023;Yes;;;;;Yes;Idena Production;Idena B+S;44160;Pont Chateau;FRA;ZI de l'Abbaye-Rue Gustave Eiffel;F 0033 251 107 788;;EUR;003;;2011-06-24 14:16:50;?;FR41439353103;FRA;FRA;50,69
00024;Yes;;;00025,00316,00717,00843,00867,00987,01495,01759,03941;00025,00316,00717,00843,00867,00987,01495,01759,03941;Yes;Reisenberger GmbH;Reisenberger GmbH B;A-2380;Perchtoldsdorf;AUT;Stuttgarterstrasse 2;;;EUR;003;;2011-06-24 14:16:50;?;AT U37950106;AUT;AUT;51,69
00024_A-7023;Yes;;;00025,00316,00717,00843,00867,00987,01495,01759,03941;00025,00316,00717,00843,00867,00987,01495,01759,03941;No;Reisenberger GmbH;Reisenberger GmbH B;A-7023;Stöttera;AUT;Hauptstrasse 117;;;EUR;003;;2011-06-24 14:16:50;?;AT U37950106;AUT;AUT;51,69
00025;Yes;1;00024;;;No;Texsped Spedition GmbH;Texsped Reisenb. S  DO NOT USE ANYMORE;2355;Wr. Neudorf / att,Reisenberger;AUT;IZ No-Sud, Str. 16, Obj. 62;;;EUR;003;00024;2011-06-24 14:16:50;?;;AUT;AUT;51,69
00026;Yes;;;;;Yes;Huys Voeders NV;Huys Voeders NV B+S;8000;Brugge;BEL;Krakeleweg 38;F 050 316 443;;EUR;003;;2011-06-24 14:16:50;?;BE0405118223;BEL;BEL;54,69
00027;Yes;;;00028;00028;Yes;Huvepharma EOOD;Huvepharma EOOD;1113;Sofia;BGR; 5th Floor,3a Nikolay Haytovstr;+359 2 862 5331;;EUR;009;;2011-06-24 14:16:50;?;BG130128520;BGR;BGR;188,69
00027_1113;Yes;;;00028;00028;No;Huvepharma EOOD;Huvepharma EOOD;1113;Sofia;BGR;3a Nikolay Haytov Street;+359 2 862 5331;;EUR;009;;2011-06-24 14:16:50;?;BG130128520;BGR;BGR;188,69
00027_1407;Yes;;;00028;00028;No;Huvepharma EOOD;Huvepharma EOOD;1407;Sofia;BGR;33 James Boucher blvd;+359 2 862 5331;;EUR;009;;2011-06-24 14:16:50;?;BG130128520;BGR;BGR;188,69
00027_2540;Yes;;;00028;00028;No;Huvepharma EOOD;Huvepharma EOOD;2540;Hove;BEL;Boechoutsesteenweg 17;+359 2 862 5331;;EUR;009;;2011-06-24 14:16:50;?;BG130128520;BEL;BEL;54,69
